date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:23:44	1011/1011	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2025%20Dec%202023%2013:23:45%20GMT	https://gtps6.com/robots.txt		(from )
20:23:44	15851/15851	---MCZ	200	added ('OK')	text/html	date:Mon,%2025%20Dec%202023%2013:23:45%20GMT	https://gtps6.com/	C:/My%20Web%20Sites/gtps6/gtps6.com/index.html	(from )
20:23:45	324226/324226	---M-Z	200	added ('OK')	text/css	etag:W/%224f282-1D6weazFksruMlqwFpRkFFnIKFM%22	https://cdn.jsdelivr.net/npm/@mdi/font@6.9.96/css/materialdesignicons.min.css	C:/My%20Web%20Sites/gtps6/cdn.jsdelivr.net/npm/@mdi/font@6.9.96/css/materialdesignicons.min.css	(from https://gtps6.com/)
20:23:45	89843/89843	---M-Z	200	added ('OK')	text/css	etag:%226294c000-3f61%22	https://cdnjs.cloudflare.com/ajax/libs/izimodal/1.6.1/css/iziModal.min.css	C:/My%20Web%20Sites/gtps6/cdnjs.cloudflare.com/ajax/libs/izimodal/1.6.1/css/iziModal.min.css	(from https://gtps6.com/)
20:23:46	41505/41505	---M-Z	200	added ('OK')	text/css	etag:%225eb03ebd-a221%22	https://cdnjs.cloudflare.com/ajax/libs/izitoast/1.4.0/css/iziToast.min.css	C:/My%20Web%20Sites/gtps6/cdnjs.cloudflare.com/ajax/libs/izitoast/1.4.0/css/iziToast.min.css	(from https://gtps6.com/)
20:23:46	169142/169142	---M-Z	200	added ('OK')	text/css	etag:%22294b6-60ca06fdd3e66-gzip%22	https://cdn.sundei.eu/gtpscdn/style.min.css	C:/My%20Web%20Sites/gtps6/cdn.sundei.eu/gtpscdn/style.min.css	(from https://gtps6.com/)
20:23:47	27067/27067	---M-Z	200	added ('OK')	text/css	etag:%2269bb-60ca07afedb0e-gzip%22	https://cdn.sundei.eu/gtpscdn/style.css	C:/My%20Web%20Sites/gtps6/cdn.sundei.eu/gtpscdn/style.css	(from https://gtps6.com/)
20:23:47	1480/1480	---M--	200	added ('OK')	image/png	etag:%225c8-60ca07b25ac90%22	https://cdn.sundei.eu/gtpscdn/wl.png	C:/My%20Web%20Sites/gtps6/cdn.sundei.eu/gtpscdn/wl.png	(from https://gtps6.com/)
20:23:47	46274/46274	---MC-	200	added ('OK')	text/javascript	date:Tue,%2012%20Dec%202023%2018:09:08%20GMT	https://www.google-analytics.com/ga.js	C:/My%20Web%20Sites/gtps6/www.google-analytics.com/ga.js	(from https://gtps6.com/)
20:23:49	58601/58601	---MCZ	200	added ('OK')	application/javascript	etag:W/%220x8DB98C763B2F11C%22	https://www.clarity.ms/s/0.7.8/clarity.js	C:/My%20Web%20Sites/gtps6/www.clarity.ms/s/0.7.8/clarity.js	(from https://gtps6.com/)
20:23:50	46274/46274	---MC-	200	added ('OK')	text/javascript	date:Tue,%2012%20Dec%202023%2018:09:08%20GMT	https://ssl.google-analytics.com/ga.js	C:/My%20Web%20Sites/gtps6/ssl.google-analytics.com/ga.js	(from https://gtps6.com/)
20:23:51	4399/4399	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2025%20Dec%202023%2013:23:51%20GMT	https://gtps6.com/checkout/logout.html	C:/My%20Web%20Sites/gtps6/gtps6.com/checkout/logout.9.delayed	(from https://gtps6.com/)
20:23:51	4399/4399	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2025%20Dec%202023%2013:23:51%20GMT	https://gtps6.com/account/index.html	C:/My%20Web%20Sites/gtps6/gtps6.com/account/index.html	(from https://gtps6.com/)
20:23:51	20619/20619	---M--	200	added ('OK')	image/png	etag:%22508b-60ca083e427dd%22	https://cdn.sundei.eu/gtpscdn/normal_player.png	C:/My%20Web%20Sites/gtps6/cdn.sundei.eu/gtpscdn/normal_player.png	(from https://gtps6.com/)
20:23:52	26180/26180	---M--	200	added ('OK')	image/png	etag:%226644-60ca07e8faedc%22	https://cdn.sundei.eu/gtpscdn/golden_player.png	C:/My%20Web%20Sites/gtps6/cdn.sundei.eu/gtpscdn/golden_player.png	(from https://gtps6.com/)
20:23:53	4399/4399	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2025%20Dec%202023%2013:23:53%20GMT	https://gtps6.com/discord	C:/My%20Web%20Sites/gtps6/gtps6.com/discord	(from https://gtps6.com/)
20:23:53	2429/2429	---M--	200	added ('OK')	image/png	etag:%22716a244f0f29af143bec61aaa8aa4259%22	https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/forums/theme/v2/Assets/Icons/grow_forum_icons_announcement.png	C:/My%20Web%20Sites/gtps6/s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/forums/theme/v2/Assets/Icons/grow_forum_icons_announcement.png	(from https://gtps6.com/)
20:23:54	2794/2794	---M--	200	added ('OK')	image/png	etag:%22a00ea4a3caf95b1deaa548fcb9e57ab4%22	https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/forums/theme/v2/Assets/Icons/grow_forum_icons_Buying.png	C:/My%20Web%20Sites/gtps6/s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/forums/theme/v2/Assets/Icons/grow_forum_icons_Buying.png	(from https://gtps6.com/)
20:23:54	3555119/3555119	---M--	200	added ('OK')	image/png	etag:%22363f2f-60d3734ecf016%22	https://cdn.sundei.eu/gtpscdn/gtps6.png	C:/My%20Web%20Sites/gtps6/cdn.sundei.eu/gtpscdn/gtps6.png	(from https://gtps6.com/)
20:23:54	334/334	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2025%20Dec%202023%2013:23:55%20GMT	https://gtps6.com/updates	C:/My%20Web%20Sites/gtps6/gtps6.com/updates	(from https://gtps6.com/)
